"","uni","metric","metrix","stage","col","barefoot2025.bad20.003","pval"
"66","nTau1.6.0","nTau1","10","6","1",1.30506247211394,2.13411447467449e-08
"67","nTau2.6.0","nTau2","11","6","1",2.3232612558535,4.65783867003125e-18
"68","nCon.6.0","nCon","12","6","1",0,1
"69","Fm.6.0","Fm","13","6","1",3392.44798356196,1.98452965204262e-98
"70","Fo.6.0","Fo","14","6","1",3115.22285654447,3.61253882564634e-78
"71","Quant.7.0","Quant","1","7","1",0.0884030315100831,2.39916683648532e-73
"72","Sigma.7.0","Sigma","2","7","1",3.72797617798916,8.83415226283658e-26
"73","Connect.7.0","Connect","3","7","1",0,1
"74","Tau1.7.0","Tau1","4","7","1",993.513309244121,2.49038418202514e-09
"75","Tau2.7.0","Tau2","5","7","1",2343209.11594072,1.62929751514182e-17
"76","NPQ.7.0","NPQ","6","7","1",0.191007283101519,9.08358826608558e-93
"77","qP.7.0","qP","7","7","1",0.340002974062468,4.79833367297065e-73
"78","ABQ.7.0","ABQ","8","7","1",0.264733791329416,8.83415226283658e-26
"79","qm.7.0","qm","9","7","1",0.744698636448279,2.39916683648532e-73
"80","nTau1.7.0","nTau1","10","7","1",1.51191774159896,2.49038418202514e-09
"81","nTau2.7.0","nTau2","11","7","1",2.29287259610998,1.62929751514182e-17
"82","nCon.7.0","nCon","12","7","1",0,1
"83","Fm.7.0","Fm","13","7","1",3244.8057285075,9.08358826608558e-93
"84","Fo.7.0","Fo","14","7","1",2957.95506544615,4.79833367297065e-73
"85","Quant.8.0","Quant","1","8","1",0.091141545278034,1.8253207551831e-74
"86","Sigma.8.0","Sigma","2","8","1",3.60302624718057,2.67472435001144e-28
"87","Connect.8.0","Connect","3","8","1",0,1
"88","Tau1.8.0","Tau1","4","8","1",623.281090885932,8.29850369298947e-10
"89","Tau2.8.0","Tau2","5","8","1",2113332.55090681,5.79332753658325e-20
"90","NPQ.8.0","NPQ","6","8","1",0.241188581149178,4.23764600866368e-94
"91","qP.8.0","qP","7","8","1",0.388049063913225,3.65064151036619e-74
"92","ABQ.8.0","ABQ","8","8","1",0.289377581287548,2.67472435001144e-28
"93","qm.8.0","qm","9","8","1",0.736790012873721,1.8253207551831e-74
"94","nTau1.8.0","nTau1","10","8","1",0.948502380939965,8.29850369298947e-10
"95","nTau2.8.0","nTau2","11","8","1",2.06793421017231,5.79332753658325e-20
"96","nCon.8.0","nCon","12","8","1",0,1
"97","Fm.8.0","Fm","13","8","1",3113.61811862937,4.23764600866368e-94
"98","Fo.8.0","Fo","14","8","1",2829.8381518918,3.65064151036619e-74
"99","Quant.9.0","Quant","1","9","1",0.092699032784576,4.53352042641123e-73
"100","Sigma.9.0","Sigma","2","9","1",3.59641751221021,1.09758955911319e-26
"101","Connect.9.0","Connect","3","9","1",0,1
"102","Tau1.9.0","Tau1","4","9","1",877.357328294865,2.87358537115138e-10
"103","Tau2.9.0","Tau2","5","9","1",2374722.96319432,5.74229080201628e-17
"104","NPQ.9.0","NPQ","6","9","1",0.290248300540029,2.63465542201168e-92
"105","qP.9.0","qP","7","9","1",0.430150520482425,9.06704085282246e-73
"106","ABQ.9.0","ABQ","8","9","1",0.290681017595552,1.09758955911319e-26
"107","qm.9.0","qm","9","9","1",0.732292105083199,4.53352042641123e-73
"108","nTau1.9.0","nTau1","10","9","1",1.33515283391632,2.87358537115138e-10
"109","nTau2.9.0","nTau2","11","9","1",2.32370946691003,5.74229080201628e-17
"110","nCon.9.0","nCon","12","9","1",0,1
"111","Fm.9.0","Fm","13","9","1",2995.22754905738,2.63465542201168e-92
