"","uni","metric","metrix","stage","col","ASnormalized.t9_ahya3.002r","pval"
"628","nCon.20.1","nCon","12","20","2",1.25427883722048,0.000000000172742465623014
"629","Fm.20.1","Fm","13","20","2",2480.47755958764,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000242612455904414
"630","Fo.20.1","Fo","14","20","2",2368.07630650636,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000155340506705199
"631","Quant.21.1","Quant","1","21","2",0.0419511348913134,0.00000000000000000000000000000000000000000000000000000000000000000000000000000125155500792242
"632","Sigma.21.1","Sigma","2","21","2",3.0117729863229,0.0000000000000000000000000211144758053988
"633","Connect.21.1","Connect","3","21","2",0.540594845343809,0.00000000000000933427786294484
"634","Tau1.21.1","Tau1","4","21","2",1053.62582164268,0.0000000000290808887807673
"635","Tau2.21.1","Tau2","5","21","2",6292274.90239151,0.000000185408627692064
"636","NPQ.21.1","NPQ","6","21","2",0.469098514609439,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235902615308785
"637","qP.21.1","qP","7","21","2",0.740495161217563,0.00000000000000000000000000000000000000000000000000000000000000000000000000000250311001584485
"638","ABQ.21.1","ABQ","8","21","2",0.31730064048682,0.0000000000000000000000000211144758053988
"639","qm.21.1","qm","9","21","2",0.87242165015286,0.00000000000000000000000000000000000000000000000000000000000000000000000000000125155500792242
"640","nTau1.21.1","nTau1","10","21","2",1.49494717892719,0.0000000000290808887807673
"641","nTau2.21.1","nTau2","11","21","2",5.73443045328918,0.000000185408627692064
"642","nCon.21.1","nCon","12","21","2",1.63896331082733,0.00000000000000933427786294484
"643","Fm.21.1","Fm","13","21","2",2410.58581436056,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235902615308785
"644","Fo.21.1","Fo","14","21","2",2309.45900369523,0.00000000000000000000000000000000000000000000000000000000000000000000000000000250311001584485
"645","Quant.22.1","Quant","1","22","2",0.0471192238588797,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000181829634975895
"646","Sigma.22.1","Sigma","2","22","2",3.03868111143812,0.00000000000000000000000000148060615700586
"647","Connect.22.1","Connect","3","22","2",0.360687838584243,0.000000654449666782842
"648","Tau1.22.1","Tau1","4","22","2",1315.77214736352,0.000000000000119336028722266
"649","Tau2.22.1","Tau2","5","22","2",17183846.5161786,0.0211077703776796
"650","NPQ.22.1","NPQ","6","22","2",0.500102071809859,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017378394265633
"651","qP.22.1","qP","7","22","2",0.776519254641262,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000363659269951789
"652","ABQ.22.1","ABQ","8","22","2",0.311201190141364,0.00000000000000000000000000148060615700586
"653","qm.22.1","qm","9","22","2",0.856704881964025,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000181829634975895
"654","nTau1.22.1","nTau1","10","22","2",1.8668960264711,0.000000000000119336028722266
"655","nTau2.22.1","nTau2","11","22","2",15.6604049084966,0.0211077703776796
"656","nCon.22.1","nCon","12","22","2",1.09352528828724,0.000000654449666782842
"657","Fm.22.1","Fm","13","22","2",2360.76471445909,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017378394265633
"658","Fo.22.1","Fo","14","22","2",2249.52731340034,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000363659269951789
"659","Quant.23.1","Quant","1","23","2",0.161290521920964,0.00000000000000000000000000000000000000000000000000000000000000000000217547398548282
"660","Sigma.23.1","Sigma","2","23","2",4.54756195917449,0.000000000000000000000000000000000000000298016214547386
"661","Connect.23.1","Connect","3","23","2",0.235639269663694,0.0000000144934978788898
"662","Tau1.23.1","Tau1","4","23","2",1366.25310703678,0.00000000000000000129525195934711
"663","Tau2.23.1","Tau2","5","23","2",2211760.53327722,0.00000000000159343258272784
"664","NPQ.23.1","NPQ","6","23","2",0.581799352815805,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000427722844131728
"665","qP.23.1","qP","7","23","2",1,0.00000000000000000000000000000000000000000000000000000000000000000000435094797096564
"666","ABQ.23.1","ABQ","8","23","2",-0.0308272406232666,0.000000000000000000000000000000000000000298016214547386
"667","qm.23.1","qm","9","23","2",0.509496496674723,0.00000000000000000000000000000000000000000000000000000000000000000000217547398548282
"668","nTau1.23.1","nTau1","10","23","2",1.93852142393472,0.00000000000000000129525195934711
